transaction_id,transactional_date,product_id,customer_id,payment,credit_card,loyalty_card,cost,quantity,price
1,5/4/2021 2:00,P0494,4,visa,4041593010498829,F,17.33,2,18.29
2,5/4/2021 3:04,P0221,5,visa,4041596151234556,F,0.59,1,1.49
3,5/4/2021 3:56,P0625,5,visa,4041594885335898,F,5.15,3,5.89
4,5/4/2021 5:20,P0431,8,mastercard,5108753677552345,F,10.67,2,11.59
5,5/4/2021 5:45,P0058,5,mastercard,5108752372298261,T,11.38,2,12.39
6,5/4/2021 6:58,P0385,6,americanexpress,374288563442549,F,13.22,1,14.69
7,5/4/2021 7:03,P0575,4,visa,4041598869758,F,2.81,1,3.99
8,5/4/2021 7:45,P0187,5,americanexpress,374283491107967,F,4.17,1,4.89
9,5/4/2021 9:58,P0074,7,mastercard,5108753211196286,F,18.11,1,19.79
10,5/4/2021 15:51,P0456,5,mastercard,5048370523083285,T,18.35,2,20.19
11,5/4/2021 16:13,P0519,5,mastercard,5048379752512880,F,12.45,3,14.09
12,5/4/2021 17:07,P0071,12,visa,4041594984149257,F,13.09,5,14.69
13,5/4/2021 19:57,P0550,5,americanexpress,374288299677079,F,15.35,1,17.09
14,5/4/2021 23:06,P0507,4,mastercard,5048376045855902,F,8.17,3,8.89
15,5/5/2021 5:22,P0684,6,visa,4041595178401834,F,6.15,1,7.49
16,5/5/2021 5:58,P0321,7,americanexpress,374288461042953,T,17.35,2,18.29
17,5/5/2021 7:40,P0450,9,visa,4041590043782,F,3.76,2,4.79
18,5/5/2021 7:58,P0457,10,americanexpress,374283070152186,F,2.02,1,2.59
19,5/5/2021 9:57,P0389,5,mastercard,5048376876298974,F,5.95,1,7.19
20,5/5/2021 10:11,P0152,7,americanexpress,374288062180277,F,16.33,1,17.99
21,5/5/2021 14:01,P0282,7,visa,4041594051333727,F,10.86,1,11.59
22,5/5/2021 14:31,P0480,5,visa,4041599842820,F,12.02,2,13.49
23,5/5/2021 15:00,P0634,6,mastercard,5108752673600884,F,16.47,1,18.09
24,5/5/2021 19:15,P0347,6,visa,4041598170819,F,5.37,1,6.29
25,5/5/2021 19:37,P0161,6,visa,4041596038533642,F,19.42,1,21.29
26,5/5/2021 19:58,P0455,6,mastercard,5108757235239089,F,1.63,2,1.79
27,5/5/2021 20:09,P0622,5,visa,4041596972700199,F,13.87,1,14.89
28,5/6/2021 5:08,P0190,3,mastercard,5048374002788455,F,18.93,2,20.89
29,5/6/2021 5:16,P0432,7,mastercard,5108756241400339,F,17.36,1,18.39
30,5/6/2021 5:58,P0524,4,americanexpress,374283854417458,T,10.66,2,11.59
31,5/6/2021 14:58,P0042,5,visa,4041599935977144,T,19.59,1,21.39
32,5/6/2021 16:16,P0474,4,visa,4041594587730164,F,15.66,2,17.49
33,5/6/2021 16:43,P0500,4,mastercard,5048371164242156,F,7.53,1,8.29
34,5/6/2021 18:41,P0517,4,mastercard,5048377748169427,F,5.11,1,5.79
35,5/7/2021 2:32,P0413,7,,6334501394605296134,F,7.35,2,8.19
36,5/7/2021 2:59,P0497,6,mastercard,5108759436996020,F,19.75,1,21.39
37,5/7/2021 4:36,P0560,4,visa,4041590202339,F,1.4,2,1.69
38,5/7/2021 9:44,P0249,5,mastercard,5048373408030116,F,4.12,3,4.89
39,5/7/2021 13:51,P0599,2,visa,4041596275107,T,13.54,2,14.79
40,5/7/2021 14:50,P0396,9,mastercard,5108754745678799,F,4.18,1,4.89
41,5/7/2021 21:36,P0337,6,mastercard,5108751127851572,F,19.24,6,21.19
42,5/7/2021 22:59,P0445,4,americanexpress,374283543850705,F,0.15,1,1.19
43,5/8/2021 0:23,P0097,6,americanexpress,374288165189936,F,9.91,7,11.29
44,5/8/2021 1:20,P0384,4,mastercard,5108750131849994,F,4.83,3,5.19
45,5/8/2021 1:48,P0431,4,americanexpress,374283964832018,F,10.67,4,11.59
46,5/8/2021 3:04,P0170,10,americanexpress,374288240835982,F,8.13,4,8.89
47,5/8/2021 11:56,P0451,6,mastercard,5048379772765294,F,2.41,2,3.29
48,5/8/2021 13:06,P0694,7,americanexpress,374283513164061,F,0.23,3,1.29
49,5/8/2021 13:43,P0661,3,visa,4041593023791707,F,8.21,4,8.99
50,5/8/2021 14:01,P0541,13,americanexpress,374288359993838,F,2.8,5,3.89
51,5/8/2021 14:58,P0736,4,visa,4041593367493,F,2.87,1,3.99
52,5/8/2021 16:42,P0346,6,mastercard,5108750415993088,F,12.21,2,13.79
53,5/8/2021 17:09,P0335,4,mastercard,5048379720157370,F,17.17,1,18.19
54,5/8/2021 17:35,P0322,5,americanexpress,374288132485151,T,13.65,2,14.89
55,5/8/2021 21:40,P0484,4,mastercard,5108754483790335,F,10.9,1,11.59
56,5/8/2021 22:40,P0035,6,visa,4041598082914470,F,11.76,3,13.09
57,5/8/2021 23:32,P0268,7,americanexpress,374288707197975,T,11.93,1,13.39
58,5/9/2021 1:25,P0741,5,americanexpress,374283963067350,F,8.06,2,8.69
59,5/9/2021 1:54,P0454,5,visa,4041592983986489,F,5.79,2,6.99
60,5/9/2021 3:19,P0474,5,visa,4041599964251,F,15.66,3,17.49
61,5/9/2021 6:30,P0582,6,visa,4041593477620477,F,5.55,4,6.59
62,5/9/2021 6:58,P0096,6,mastercard,5048371366204103,F,15.64,2,17.49
63,5/9/2021 10:13,P0580,8,americanexpress,374283780229209,F,3.39,5,4.59
64,5/9/2021 11:56,P0455,7,americanexpress,374288168586070,F,1.63,1,1.79
65,5/9/2021 15:47,P0531,6,americanexpress,374288491063268,F,3.2,2,4.39
66,5/9/2021 17:07,P0546,5,americanexpress,374283593685175,F,3.2,2,4.39
67,5/9/2021 18:01,P0676,9,mastercard,5048375321591959,F,4.72,3,4.99
68,5/9/2021 18:28,P0511,6,visa,4041599716520584,F,7.06,1,8.19
69,5/9/2021 23:49,P0468,5,americanexpress,374288567196331,F,13.48,5,14.79
70,5/10/2021 1:14,P0100,5,mastercard,5108756748746465,F,12.05,1,13.59
71,5/10/2021 3:11,P0357,5,mastercard,5108758275045121,F,3.34,1,4.49
72,5/10/2021 3:32,P0225,5,mastercard,5108757043026314,T,7.79,4,8.29
73,5/10/2021 6:25,P0410,8,mastercard,5108751003991963,F,2.95,5,4.09
74,5/10/2021 7:50,P0560,5,visa,4041599799749,F,1.4,3,1.69
75,5/10/2021 8:28,P0353,5,visa,4041590972519,T,15.1,3,16.69
76,5/10/2021 15:11,P0411,10,mastercard,5048370011791670,F,13.46,1,14.79
77,5/10/2021 15:59,P0485,6,visa,4041597721372,F,19.85,2,21.39
78,5/10/2021 19:28,P0622,4,mastercard,5108751065239707,F,13.87,1,14.89
79,5/10/2021 23:56,P0527,5,americanexpress,374283920722238,F,16.63,3,18.09
80,5/11/2021 0:48,P0482,10,americanexpress,374283230369324,F,2.75,1,3.89
81,5/11/2021 3:15,P0291,7,americanexpress,374283225936665,F,14.13,1,14.89
82,5/11/2021 4:09,P0697,3,mastercard,5108757114786531,F,19.48,1,21.29
83,5/11/2021 4:15,P0535,6,visa,4041596926533704,F,12.16,1,13.69
84,5/11/2021 4:35,P0021,6,visa,4041596591619804,F,14.13,2,14.89
